Timestamp,TP9,AF7,AF8,TP10
0.00390625,-2.9296875,-11.71875,-9.27734375,-9.765625
0.0078125,-2.44140625,-16.11328125,-15.625,-18.06640625
0.01171875,-8.30078125,-18.5546875,-23.92578125,-19.53125
0.015625,-14.16015625,-22.94921875,-43.45703125,-12.20703125
0.01953125,-4.39453125,-18.5546875,-33.69140625,-4.8828125
0.0234375,2.9296875,-7.8125,-16.6015625,1.953125
0.02734375,-10.25390625,-16.11328125,-25.87890625,-5.37109375
0.03125,-31.25,-23.4375,-29.296875,-24.4140625
0.03515625,-37.109375,-19.53125,-25.390625,-29.78515625
0.0390625,-39.0625,-20.99609375,-15.13671875,-35.15625
0.04296875,-37.59765625,-22.4609375,-9.27734375,-35.64453125
0.046875,-37.109375,-25.390625,-21.97265625,-36.62109375
0.05078125,-48.828125,-29.296875,-20.01953125,-38.57421875
0.0546875,-33.203125,-20.01953125,1.953125,-32.71484375
0.05859375,-26.3671875,-23.92578125,-9.27734375,-33.69140625
0.0625,-29.296875,-35.64453125,-20.01953125,-21.484375
0.06640625,-24.90234375,-34.66796875,-21.97265625,-17.08984375
0.0703125,-24.4140625,-23.92578125,-21.484375,-13.18359375
0.07421875,-16.11328125,-14.6484375,-10.7421875,1.953125
0.078125,-19.04296875,-23.92578125,-19.53125,-12.20703125
0.08203125,-26.85546875,-28.80859375,-24.4140625,-20.99609375
0.0859375,-20.5078125,-21.484375,-29.296875,-18.06640625
0.08984375,-13.671875,-23.4375,-34.1796875,-24.90234375
0.09375,-12.20703125,-22.94921875,-30.2734375,-17.578125
0.09765625,-23.92578125,-27.34375,-28.80859375,-19.53125
0.1015625,-35.15625,-29.78515625,-31.73828125,-29.78515625
0.10546875,-27.83203125,-20.01953125,-34.66796875,-22.94921875
0.109375,-15.13671875,-15.13671875,-26.85546875,-8.30078125
0.11328125,3.90625,-12.20703125,-21.484375,1.953125
0.1171875,-7.32421875,-13.671875,-26.85546875,-9.765625
0.12109375,-14.6484375,-22.94921875,-32.2265625,-25.390625
0.125,-7.8125,-22.4609375,-28.3203125,-15.625
0.12890625,-28.3203125,-21.484375,-24.4140625,-10.7421875
0.1328125,-29.296875,-28.80859375,-26.3671875,-11.71875
0.13671875,-30.2734375,-31.25,-36.1328125,-16.6015625
0.140625,-31.25,-24.90234375,-38.0859375,-21.484375
0.14453125,-24.4140625,-22.94921875,-22.4609375,-32.2265625
0.1484375,-21.97265625,-22.4609375,-9.765625,-26.85546875
0.15234375,-15.13671875,-16.6015625,-18.06640625,-7.32421875
0.15625,-14.16015625,-20.99609375,-19.53125,-9.27734375
0.16015625,-19.53125,-28.3203125,-6.8359375,-9.765625
0.1640625,-2.9296875,-19.04296875,2.44140625,-1.953125
0.16796875,5.859375,-17.578125,-6.8359375,-5.37109375
0.171875,-17.08984375,-27.83203125,-24.4140625,-17.578125
0.17578125,-26.85546875,-24.90234375,-24.90234375,-21.484375
0.1796875,-20.99609375,-26.85546875,-21.97265625,-24.4140625
0.18359375,-17.578125,-35.15625,-33.69140625,-36.1328125
0.1875,-38.0859375,-34.66796875,-31.73828125,-40.0390625
0.19140625,-45.41015625,-31.25,-20.5078125,-41.50390625
0.1953125,-26.3671875,-27.34375,-19.04296875,-29.296875
0.19921875,-28.80859375,-23.92578125,-17.578125,-20.99609375
0.203125,-19.04296875,-20.01953125,-21.97265625,-16.6015625
0.20703125,-14.6484375,-21.484375,-16.6015625,-7.32421875
0.2109375,-7.8125,-23.92578125,-4.8828125,-9.765625
0.21484375,3.41796875,-18.5546875,-5.859375,7.8125
0.21875,-4.8828125,-16.11328125,-5.37109375,7.8125
0.22265625,-14.16015625,-20.99609375,-10.25390625,-5.37109375
0.2265625,-14.6484375,-29.296875,-30.2734375,-4.8828125
0.23046875,-5.859375,-29.78515625,-28.3203125,-8.30078125
0.234375,-3.90625,-21.97265625,-11.23046875,-11.23046875
0.23828125,-15.13671875,-19.04296875,-8.30078125,-5.859375
0.2421875,-7.8125,-18.5546875,-5.859375,1.46484375
