time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,4,5,6,4,4.0,4.0,5.0,4,4
20,5,5,6,6,4.0,4.0,5.0,4,5
30,4,5,6,6,5.0,4.0,5.0,4,5
40,4,5,6,6,5.0,5.0,6.0,6,5
50,4,6,6,6,5.0,5.0,6.0,6,5
60,4,6,6,6,5.0,5.0,6.0,6,5
70,4,6,6,6,6.0,6.0,6.0,6,5
80,3,5,6,6,6.0,6.0,6.0,6,5
90,4,5,6,6,7.0,6.0,6.0,6,5
100,4,5,6,6,5.0,6.0,6.0,6,5
110,4,5,5,6,5.0,6.0,6.0,6,5
120,5,5,5,6,5.0,6.0,6.0,6,6
130,5,5,5,6,6.0,6.0,5.0,6,5
140,5,5,5,6,6.0,6.0,6.0,6,5
150,5,4,5,6,6.0,6.0,6.0,5,6
160,5,4,5,6,6.0,6.0,6.0,5,5
170,5,4,5,7,6.0,6.0,6.0,5,6
180,5,3,5,6,6.0,6.0,6.0,5,6
