time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,3,6,7,6.0,6.0,6.0,4.0,4,8
20,3,6,7,7.0,7.0,6.0,5.0,5,7
30,4,6,7,6.0,7.0,7.0,4.0,6,8
40,3,6,7,6.0,7.0,6.0,5.0,5,7
50,3,6,8,6.0,7.0,5.0,4.0,6,8
60,3,6,8,5.0,7.0,4.0,4.0,5,7
70,3,6,7,5.0,6.0,6.0,4.0,6,7
80,3,6,7,5.0,6.0,6.0,5.0,6,6
90,4,6,8,5.0,7.0,5.0,5.0,4,7
100,4,5,7,5.0,7.0,4.0,5.0,6,8
110,4,6,8,5.0,6.0,4.0,5.0,6,7
120,4,6,7,5.0,6.0,4.0,5.0,6,8
130,4,5,7,5.0,6.0,4.0,5.0,6,8
140,4,5,7,5.0,5.0,4.0,5.0,7,8
150,4,5,7,5.0,5.0,4.0,5.0,7,8
160,4,4,7,5.0,5.0,4.0,5.0,7,7
170,5,4,8,5.0,5.0,4.0,5.0,7,7
180,5,3,8,5.0,5.0,4.0,5.0,8,8
