time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,5,5,5,6,6.0,4.0,6,5,6
20,5,5,4,6,6.0,5.0,6,5,7
30,5,6,5,6,6.0,5.0,6,6,6
40,4,6,5,7,5.0,4.0,6,6,7
50,3,4,5,7,5.0,4.0,5,6,6
60,3,3,5,7,6.0,4.0,5,5,5
70,2,2,5,7,6.0,5.0,5,3,5
80,2,3,5,6,6.0,5.0,5,4,6
90,2,2,5,6,5.0,5.0,6,4,7
100,2,2,5,6,4.0,5.0,6,6,7
110,2,2,5,6,7.0,5.0,6,6,8
120,3,2,5,6,7.0,6.0,5,6,8
130,2,2,5,6,7.0,6.0,6,6,8
140,2,2,4,6,7.0,5.0,5,3,7
150,2,2,4,6,5.0,6.0,5,3,5
160,2,2,5,6,5.0,5.0,6,4,5
170,2,2,5,6,5.0,6.0,6,5,5
180,2,2,4,5,7.0,6.0,5,6,7
