time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,1.0,2,2,3.0,3.0,2.0,3.0,2,3
20,1.0,3,2,3.0,5.0,2.0,4.0,3,5
30,1.0,2,3,3.0,4.0,4.0,5.0,4,6
40,2.0,2,3,4.0,5.0,4.0,5.0,6,6
50,2.0,2,4,5.0,7.0,6.0,5.0,3,4
60,2.0,1,4,6.0,6.0,6.0,6.0,4,5
70,1.0,1,4,7.0,6.0,4.0,3.0,5,7
80,1.0,2,4,7.0,6.0,5.0,4.0,6,6
90,1.0,2,4,7.0,5.0,6.0,5.0,1,6
100,1.0,3,4,7.0,5.0,7.0,5.0,1,4
110,1.0,2,4,6.0,9.0,7.0,6.0,2,7
120,1.0,2,5,6.0,9.0,5.0,6.0,3,8
130,2.0,1,4,6.0,9.0,6.0,3.0,5,6
140,1.0,2,4,6.0,8.0,6.0,4.0,5,5
150,1.0,2,4,6.0,7.0,6.0,4.0,7,8
160,1.0,2,4,6.0,8.0,3.0,5.0,7,6
170,1.0,2,5,6.0,6.0,3.0,3.0,8,7
180,1.0,1,4,4.0,4.0,3.0,2.0,1,9
