time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,3,4,4,5.0,5,5.0,5.0,3.0,6
20,3,5,5,6.0,6,6.0,6.0,4.0,7
30,3,6,6,7.0,7,6.0,7.0,5.0,7
40,4,5,7,7.0,7,7.0,7.0,6.0,8
50,4,6,7,8.0,7,7.0,7.0,7.0,8
60,4,6,7,8.0,7,7.0,7.0,7.0,9
70,5,5,7,7.0,8,8.0,7.0,7.0,9
80,4,5,7,7.0,8,8.0,8.0,7.0,9
90,4,4,6,7.0,7,8.0,8.0,8.0,9
100,4,4,8,8.0,7,8.0,8.0,8.0,9
110,4,3,9,8.0,7,8.0,8.0,9.0,9
120,4,3,9,8.0,7,8.0,9.0,9.0,9
130,4,3,9,8.0,7,8.0,9.0,9.0,8
140,3,2,9,9.0,7,9.0,9.0,7.0,9
150,3,2,9,8.0,7,8.0,9.0,8.0,9
160,2,4,9,8.0,8,9.0,9.0,9.0,9
170,2,2,9,8.0,8,9.0,9.0,9.0,9
180,2,2,9,8.0,8,9.0,9.0,9.0,9
