time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,1,1,1,3,3,1.0,3.0,1,3
20,1,1,3,3,3,1.0,3.0,3,3
30,1,1,3,4,3,1.0,3.0,5,3
40,1,1,2,4,4,1.0,3.0,5,3
50,1,1,2,3,4,2.0,3.0,5,3
60,1,1,2,4,4,2.0,4.0,6,3
70,1,1,2,4,5,2.0,4.0,8,3
80,1,1,2,4,4,4.0,4.0,8,4
90,1,1,2,4,4,4.0,4.0,8,6
100,1,1,3,4,4,4.0,4.0,8,6
110,1,1,2,4,4,4.0,4.0,8,6
120,1,1,2,4,4,4.0,4.0,8,6
130,1,1,2,4,5,4.0,4.0,8,5
140,1,1,2,4,4,4.0,4.0,9,4
150,1,1,2,4,4,4.0,4.0,9,6
160,1,1,2,4,4,4.0,4.0,9,6
170,1,1,2,4,5,4.0,4.0,9,7
180,1,1,2,4,5,4.0,4.0,9,8
