time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,2,3,4,3,5,5.0,6.0,6,7
20,2,3,5,5,6,5.0,7.0,7,8
30,3,4,6,6,6,5.0,7.0,8,8
40,2,3,6,6,6,5.0,8.0,8,8
50,2,3,6,6,6,5.0,7.0,8,8
60,2,4,6,6,7,5.0,8.0,7,8
70,2,4,5,6,7,6.0,7.0,6,9
80,1,3,5,6,7,6.0,8.0,6,8
90,1,3,6,5,6,6.0,7.0,8,8
100,1,3,5,6,7,6.0,8.0,8,8
110,1,4,6,6,7,7.0,7.0,8,8
120,1,3,6,6,7,7.0,8.0,8,7
130,1,3,6,6,6,7.0,7.0,7,7
140,1,3,6,6,7,7.0,8.0,6,7
150,1,3,6,5,7,7.0,8.0,5,7
160,1,3,6,5,7,7.0,8.0,7,8
170,1,2,6,5,8,7.0,8.0,7,8
180,1,2,6,6,8,7.0,8.0,8,6
