time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,6,5,6,6,6.0,7.0,7.0,7,8
20,6,6,7,7,7.0,7.0,8.0,8,9
30,6,6,6,7,7.0,7.0,7.0,9,8
40,5,5,6,7,7.0,7.0,8.0,9,8
50,5,5,6,7,7.0,7.0,7.0,9,8
60,5,5,5,6,7.0,7.0,7.0,9,8
70,5,5,5,6,7.0,7.0,7.0,9,8
80,5,4,5,6,7.0,7.0,8.0,9,8
90,4,4,5,6,7.0,7.0,8.0,9,8
100,4,4,5,6,7.0,7.0,8.0,9,8
110,4,4,5,6,6.0,7.0,8.0,9,8
120,4,4,5,6,7.0,7.0,8.0,8,9
130,4,4,5,6,7.0,7.0,8.0,8,9
140,3,4,5,6,7.0,7.0,8.0,8,9
150,3,4,5,6,7.0,7.0,8.0,8,9
160,3,4,6,6,7.0,7.0,8.0,9,8
170,3,4,5,6,7.0,7.0,8.0,9,9
180,3,4,5,6,6.0,7.0,8.0,9,9
