time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,5,5,8,8,9.0,8.0,8.0,7,9
20,6,6,9,8,9.0,9.0,8.0,9,8
30,6,7,9,8,9.0,9.0,8.0,9,8
40,5,7,8,9,8.0,9.0,8.0,9,8
50,5,7,8,9,9.0,9.0,9.0,7,8
60,4,6,8,9,9.0,9.0,9.0,6,9
70,4,6,8,8,8.0,9.0,8.0,7,9
80,4,5,7,9,9.0,9.0,9.0,9,9
90,4,5,8,9,9.0,9.0,8.0,9,8
100,4,6,7,9,9.0,9.0,9.0,9,8
110,5,6,8,9,9.0,9.0,8.0,7,9
120,5,7,8,8,9.0,9.0,9.0,7,9
130,4,7,9,9,8.0,9.0,5.0,9,9
140,4,6,9,9,9.0,8.0,9.0,9,9
150,4,6,9,9,9.0,9.0,9.0,9,8
160,3,6,8,9,9.0,8.0,9.0,9,9
170,3,6,8,8,9.0,9.0,9.0,8,9
180,3,4,8,9,9.0,9.0,9.0,8,9
