time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,4,5,6,6,5,6.0,7.0,6,7
20,4,6,7,7,6,7.0,7.0,7,8
30,4,4,6,7,6,6.0,6.0,7,6
40,3,6,6,7,5,6.0,6.0,7,7
50,3,5,7,7,5,6.0,6.0,8,7
60,4,5,6,6,5,6.0,6.0,8,7
70,4,5,6,6,5,6.0,5.0,8,7
80,3,4,7,5,5,6.0,5.0,8,9
90,3,4,6,5,5,6.0,5.0,7,8
100,3,4,7,5,5,6.0,5.0,8,8
110,2,5,7,5,5,6.0,5.0,6,8
120,2,4,6,5,4,6.0,5.0,6,7
130,3,3,6,5,4,6.0,5.0,6,7
140,2,3,6,5,4,6.0,5.0,6,6
150,2,3,6,5,4,6.0,6.0,6,6
160,2,3,7,5,4,6.0,6.0,6,7
170,2,3,6,5,4,6.0,6.0,7,6
180,2,3,7,5,4,6.0,6.0,7,7
