time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,2,2,3,3,5,3.0,4,2.0,4
20,2,2,4,4,5,3.0,5,6.0,5
30,2,2,4,4,5,3.0,5,7.0,5
40,2,2,4,4,5,3.0,5,8.0,5
50,2,2,5,4,5,3.0,5,8.0,5
60,2,2,5,5,5,3.0,5,8.0,5
70,2,2,5,5,5,3.0,5,8.0,6
80,2,2,5,5,5,3.0,5,8.0,6
90,2,2,5,5,5,3.0,5,3.0,6
100,2,2,5,5,5,3.0,5,3.0,6
110,2,2,5,5,5,3.0,5,3.0,6
120,2,2,5,5,5,3.0,5,3.0,6
130,2,2,5,5,5,3.0,5,5.0,6
140,2,2,5,5,5,3.0,5,5.0,7
150,2,2,6,5,5,3.0,5,6.0,6
160,2,2,6,5,5,3.0,5,6.0,6
170,2,2,6,5,5,3.0,5,6.0,6
180,2,2,6,5,5,3.0,5,6.0,6
