time,lvl_1,lvl_2,lvl_3,lvl_4,lvl_5,lvl_6,lvl_7,lvl_8,lvl_9
10,1,2,2,2,4,2.0,2.0,2.0,3.0
20,1,2,4,3,4,2.0,3.0,5.0,3.0
30,1,2,5,2,5,2.0,3.0,5.0,4.0
40,1,2,5,2,4,3.0,3.0,2.0,4.0
50,1,2,5,2,5,3.0,3.0,2.0,5.0
60,1,2,5,3,5,3.0,3.0,2.0,4.0
70,1,2,4,2,4,3.0,3.0,4.0,4.0
80,1,1,5,3,4,3.0,3.0,4.0,5.0
90,1,1,5,3,4,3.0,3.0,2.0,4.0
100,1,1,5,3,4,3.0,3.0,3.0,4.0
110,1,1,5,4,4,3.0,3.0,4.0,5.0
120,1,1,5,3,4,3.0,3.0,3.0,4.0
130,1,1,5,3,4,3.0,3.0,2.0,3.0
140,1,1,5,3,4,3.0,3.0,3.0,3.0
150,1,1,5,3,4,3.0,3.0,4.0,3.0
160,1,1,5,3,4,3.0,3.0,4.0,3.0
170,1,1,5,3,4,3.0,3.0,4.0,3.0
180,1,1,5,3,4,3.0,3.0,4.0,3.0
